Name,Player ID,URL
tres-barrera,668663,https://www.mlb.com/player/tres-barrera-668663
luis-barrera,642456,https://www.mlb.com/player/luis-barrera-642456
jose-barrero,676480,https://www.mlb.com/player/jose-barrero-676480
jaime-barria,642545,https://www.mlb.com/player/jaime-barria-642545
joey-bart,663698,https://www.mlb.com/player/joey-bart-663698
anthony-bass,542914,https://www.mlb.com/player/anthony-bass-542914
chris-bassitt,605135,https://www.mlb.com/player/chris-bassitt-605135
matthew-batten,676946,https://www.mlb.com/player/matthew-batten-676946
brett-baty,683146,https://www.mlb.com/player/brett-baty-683146
mike-baumann,657508,https://www.mlb.com/player/mike-baumann-657508
felix-bautista,642585,https://www.mlb.com/player/felix-bautista-642585
shane-baz,669358,https://www.mlb.com/player/shane-baz-669358
eduard-bazardo,660825,https://www.mlb.com/player/eduard-bazardo-660825
jeremy-beasley,676886,https://www.mlb.com/player/jeremy-beasley-676886
matt-beaty,607461,https://www.mlb.com/player/matt-beaty-607461
tim-beckham,542921,https://www.mlb.com/player/tim-beckham-542921
david-bednar,670280,https://www.mlb.com/player/david-bednar-670280
tyler-beede,595881,https://www.mlb.com/player/tyler-beede-595881
jalen-beeks,656222,https://www.mlb.com/player/jalen-beeks-656222
seth-beer,666179,https://www.mlb.com/player/seth-beer-666179
josh-bell,605137,https://www.mlb.com/player/josh-bell-605137
andrew-bellatti,571479,https://www.mlb.com/player/andrew-bellatti-571479
cody-bellinger,641355,https://www.mlb.com/player/cody-bellinger-641355
brayan-bello,678394,https://www.mlb.com/player/brayan-bello-678394
brandon-belt,474832,https://www.mlb.com/player/brandon-belt-474832
anthony-bemboom,621532,https://www.mlb.com/player/anthony-bemboom-621532
anthony-bender,669622,https://www.mlb.com/player/anthony-bender-669622
andrew-benintendi,643217,https://www.mlb.com/player/andrew-benintendi-643217
will-benson,666181,https://www.mlb.com/player/will-benson-666181
wynton-bernard,592144,https://www.mlb.com/player/wynton-bernard-592144
brennan-bernardino,657514,https://www.mlb.com/player/brennan-bernardino-657514
jose-berrios,621244,https://www.mlb.com/player/jose-berrios-621244
jon-berti,542932,https://www.mlb.com/player/jon-berti-542932
christian-bethancourt,542194,https://www.mlb.com/player/christian-bethancourt-542194
mookie-betts,605141,https://www.mlb.com/player/mookie-betts-605141
bo-bichette,666182,https://www.mlb.com/player/bo-bichette-666182
phil-bickford,641360,https://www.mlb.com/player/phil-bickford-641360
shane-bieber,669456,https://www.mlb.com/player/shane-bieber-669456
brandon-bielak,656232,https://www.mlb.com/player/brandon-bielak-656232
cavan-biggio,624415,https://www.mlb.com/player/cavan-biggio-624415
jake-bird,656234,https://www.mlb.com/player/jake-bird-656234
ty-blach,621389,https://www.mlb.com/player/ty-blach-621389
paul-blackburn,621112,https://www.mlb.com/player/paul-blackburn-621112
charlie-blackmon,453568,https://www.mlb.com/player/charlie-blackmon-453568
dairon-blanco,680118,https://www.mlb.com/player/dairon-blanco-680118
ronel-blanco,669854,https://www.mlb.com/player/ronel-blanco-669854
travis-blankenhorn,663905,https://www.mlb.com/player/travis-blankenhorn-663905
jj-bleday,668709,https://www.mlb.com/player/jj-bleday-668709
richard-bleier,542947,https://www.mlb.com/player/richard-bleier-542947
xander-bogaerts,593428,https://www.mlb.com/player/xander-bogaerts-593428
alec-bohm,664761,https://www.mlb.com/player/alec-bohm-664761
ronald-bolanos,671790,https://www.mlb.com/player/ronald-bolanos-671790
skye-bolt,621450,https://www.mlb.com/player/skye-bolt-621450
ryan-borucki,621366,https://www.mlb.com/player/ryan-borucki-621366
david-bote,623520,https://www.mlb.com/player/david-bote-623520
sean-bouchard,656248,https://www.mlb.com/player/sean-bouchard-656248
brad-boxberger,502202,https://www.mlb.com/player/brad-boxberger-502202
matthew-boyd,571510,https://www.mlb.com/player/matthew-boyd-571510
silvino-bracho,611093,https://www.mlb.com/player/silvino-bracho-611093
kyle-bradish,680694,https://www.mlb.com/player/kyle-bradish-680694
archie-bradley,605151,https://www.mlb.com/player/archie-bradley-605151
bobby-bradley,656252,https://www.mlb.com/player/bobby-bradley-656252
jackie-bradley-jr,598265,https://www.mlb.com/player/jackie-bradley-jr-598265
michael-brantley,488726,https://www.mlb.com/player/michael-brantley-488726
rob-brantly,542963,https://www.mlb.com/player/rob-brantly-542963
matt-brash,666374,https://www.mlb.com/player/matt-brash-666374
ryan-brasier,518489,https://www.mlb.com/player/ryan-brasier-518489
steven-brault,643230,https://www.mlb.com/player/steven-brault-643230
huascar-brazoban,623211,https://www.mlb.com/player/huascar-brazoban-623211
john-brebbia,605154,https://www.mlb.com/player/john-brebbia-605154
alex-bregman,608324,https://www.mlb.com/player/alex-bregman-608324
